# pinned_commit	a3d8c67ed91d58e197b8c978ddcc00ba96f87c29
# generated_by	scripts/coverage-audit.ps1 -UpdateIndex
path	line	family_id	kind	declaration	visibility
GameTheory/Concepts/Communication/Babbling.lean	225	D-COMM	theorem	constantSum_eu_eq_base_nash	public
GameTheory/Concepts/Communication/Babbling.lean	238	D-COMM	theorem	zeroSum_eu_eq_base_nash	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	47	D-COMM	abbrev	MessageProfile	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	50	D-COMM	instance	instFiniteGameOutcome	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	57	D-COMM	def	mixedMessageMarginal	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	63	D-COMM	def	mixedMessageLaw	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	71	D-COMM	def	conditionalCheapTalkStrategy	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	78	D-COMM	def	conditionalCheapTalkProfile	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	86	D-COMM	def	publicPlay	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	94	D-COMM	def	actionLaw	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	100	D-COMM	def	mixedActionLaw	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	107	D-COMM	def	liftActionDeviation	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	112	D-COMM	theorem	actionProfile_update_liftActionDeviation	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	141	D-COMM	theorem	correlatedEu_actionLaw_eq	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	166	D-COMM	theorem	unilateralDeviationDistribution_actionLaw	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	182	D-COMM	theorem	pmf_map_congr_on_support	private
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	193	D-COMM	theorem	mixedStrategyLaw_eq_message_bind_conditional	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	257	D-COMM	theorem	messageProfile_eq_of_conditionalCheapTalkProfile_ne_zero	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	293	D-COMM	theorem	actionProfile_map_conditional_eq_pmfPi_publicPlay	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	346	D-COMM	theorem	mixedActionLaw_eq_publicCorrelatedLaw	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	368	D-COMM	def	InducesPublicSignalNash	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	380	D-COMM	theorem	mixedNash_mixedActionLaw_isCorrelatedEq	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	421	D-COMM	theorem	mixedNash_mixedActionLaw_isCoarseCorrelatedEq	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	430	D-COMM	theorem	InducesPublicSignalNash.mixedActionLaw_isCorrelatedEq	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	440	D-COMM	theorem	InducesPublicSignalNash.mixedActionLaw_isCoarseCorrelatedEq	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	450	D-COMM	theorem	InducesPublicSignalNash.mixedActionLaw_payoff_isMixedNashPayoffMixture	public
GameTheory/Concepts/Communication/CheapTalkPublicRandomness.lean	465	D-COMM	theorem	mixedExtension_eu_eq_correlatedEu_mixedActionLaw_of_bounded	public
